,0,59,19,137,(4 0),(8 0),(0 0),(4 1),(0 5),(6 1),(0 10),(0 14),(5 12),(1 7),(4 15),(8 4),(6 5),(5 5),(5 9),(8 6),(6 8),(0 7),(0 9),28.052
,0,59,19,137,(4 0),(8 0),(0 0),(4 1),(1 5),(6 1),(4 15),(0 14),(5 12),(5 9),(0 10),(8 4),(7 5),(0 5),(1 7),(6 6),(6 8),(5 7),(0 9),30.146
,0,59,19,137,(4 0),(8 0),(0 0),(4 1),(0 5),(6 1),(4 15),(0 14),(5 9),(1 7),(0 10),(8 4),(6 5),(5 5),(5 12),(8 6),(6 8),(0 7),(0 9),29.439
,0,59,19,137,(0 0),(8 0),(2 0),(6 1),(1 5),(0 1),(4 15),(0 14),(1 7),(5 9),(0 10),(8 4),(7 5),(0 5),(5 12),(6 6),(6 8),(5 7),(0 9),41.463
,0,59,20,138,(0 0),(8 0),(2 0),(0 1),(1 5),(6 1),(0 14),(5 15),(1 7),(5 12),(0 10),(8 4),(7 5),(0 5),(5 9),(6 6),(6 8),(5 7),(0 9),31.382
,0,59,20,138,(1 0),(0 0),(0 15),(6 1),(1 1),(4 3),(4 16),(0 10),(1 7),(0 3),(4 12),(8 4),(7 5),(6 5),(5 9),(0 6),(1 6),(5 7),(0 8),28.387
,0,59,19,137,(4 0),(6 0),(0 0),(4 1),(0 5),(7 1),(0 10),(0 14),(5 12),(1 7),(4 15),(6 4),(6 5),(5 5),(5 9),(8 6),(6 8),(0 7),(0 9),31.05
,0,59,19,137,(4 0),(8 0),(0 0),(4 1),(1 5),(6 1),(0 10),(0 14),(1 7),(5 9),(4 15),(8 4),(7 5),(0 5),(5 12),(6 6),(6 8),(5 7),(0 9),33.312
,0,59,20,138,(4 0),(8 0),(0 0),(4 1),(1 5),(6 1),(0 14),(5 15),(5 9),(1 7),(0 10),(8 4),(7 5),(0 5),(5 12),(6 6),(6 8),(5 7),(0 9),31.272
,0,68,20,156,(4 0),(6 0),(0 0),(7 1),(0 9),(4 1),(0 11),(5 15),(5 12),(5 5),(0 15),(6 4),(5 9),(8 8),(1 6),(0 6),(5 8),(7 9),(0 8),31.32
,0,59,19,137,(4 0),(6 0),(0 0),(7 1),(0 5),(4 1),(0 10),(0 14),(5 12),(5 9),(4 15),(6 4),(6 5),(5 5),(1 7),(8 6),(6 8),(0 7),(0 9),30.147
,0,59,19,137,(0 0),(8 0),(2 0),(6 1),(0 5),(0 1),(4 15),(0 14),(1 7),(5 9),(0 10),(8 4),(7 5),(5 5),(5 12),(6 6),(6 8),(0 7),(0 9),29.247
,0,63,20,146,(0 0),(2 0),(3 0),(0 1),(4 8),(7 1),(4 16),(0 14),(4 5),(5 13),(0 10),(2 4),(1 7),(3 5),(5 10),(8 6),(0 6),(0 7),(0 9),40.108
,0,59,19,137,(0 0),(6 0),(2 0),(7 1),(1 5),(0 1),(0 10),(0 14),(5 12),(1 7),(4 15),(6 4),(7 5),(0 5),(5 9),(6 6),(6 8),(5 7),(0 9),53.888
,0,68,20,156,(4 0),(5 0),(0 0),(6 1),(0 10),(6 5),(0 16),(5 15),(5 9),(5 12),(0 12),(8 4),(4 4),(8 5),(1 7),(0 6),(1 6),(5 7),(0 8),50.677
