,0,4,9,17,(1 0),(7 0),(0 0),(3 0),(2 1),(7 1),(9 1),(0 2),(4 3),(8 4),(3 3),(5 3),(0 5),(5 4),(8 5),(3 7),(8 8),29.256
,0,4,9,17,(10 0),(0 0),(11 0),(5 0),(9 1),(3 1),(0 1),(9 2),(0 3),(5 4),(1 3),(2 3),(9 5),(2 4),(5 5),(0 7),(5 8),33.936
,0,7,9,23,(10 0),(4 0),(11 0),(0 0),(7 1),(8 1),(4 1),(7 2),(10 3),(3 8),(11 3),(0 3),(3 4),(0 4),(6 5),(10 7),(7 8),34.647
,0,4,9,17,(1 0),(7 0),(2 0),(3 0),(0 1),(7 1),(9 1),(0 2),(10 3),(6 4),(11 3),(3 3),(0 5),(3 4),(6 5),(10 7),(6 8),33.048
,0,4,9,17,(10 0),(4 0),(11 0),(0 0),(7 1),(8 1),(4 1),(7 2),(11 3),(3 4),(10 3),(0 3),(3 5),(0 4),(6 5),(10 7),(6 8),31.748
,0,4,9,17,(1 0),(7 0),(0 0),(3 0),(2 1),(10 1),(7 1),(0 2),(11 3),(6 4),(10 3),(3 3),(0 5),(3 4),(6 5),(10 7),(6 8),32.504
,0,4,9,17,(11 0),(0 0),(4 0),(5 0),(0 1),(9 1),(1 1),(9 2),(0 3),(5 4),(1 3),(2 3),(9 5),(2 4),(5 5),(0 7),(5 8),31.195
,0,4,9,17,(7 0),(1 0),(0 0),(8 0),(6 1),(1 1),(3 1),(0 2),(10 3),(6 4),(11 3),(3 3),(0 5),(3 4),(6 5),(10 7),(6 8),36.818
,0,4,9,17,(2 0),(7 0),(0 0),(3 0),(1 1),(10 1),(7 1),(0 2),(10 3),(6 4),(11 3),(3 3),(0 5),(3 4),(6 5),(10 7),(6 8),30.857
,0,4,9,17,(10 0),(0 0),(11 0),(6 0),(2 1),(0 1),(3 1),(0 2),(4 3),(5 4),(3 3),(5 3),(0 5),(9 4),(5 5),(3 7),(5 8),34.594
,0,4,9,17,(10 0),(0 0),(11 0),(6 0),(0 1),(1 1),(3 1),(0 2),(10 3),(6 4),(11 3),(3 3),(0 5),(3 4),(6 5),(10 7),(6 8),34.568
,0,4,9,17,(11 0),(1 0),(0 0),(7 0),(3 1),(1 1),(4 1),(0 2),(10 3),(6 4),(11 3),(3 3),(0 5),(3 4),(6 5),(10 7),(6 8),32.257
,1,1,8,110,(6 0),(0 0),(11 0),(7 0),(0 1),(1 1),(3 1),(0 2),(3 3),(4 4),(11 3),(4 3),(8 4),(-1 -1),(4 5),(0 6),(2 7),31.654
,1,1,8,110,(0 0),(4 0),(3 0),(8 0),(7 1),(1 1),(4 1),(1 2),(4 3),(5 4),(0 3),(5 3),(9 4),(-1 -1),(5 5),(1 6),(0 7),31.164
,0,4,9,17,(4 0),(5 0),(11 0),(0 0),(5 1),(9 1),(6 1),(9 2),(0 3),(5 4),(1 3),(2 3),(5 5),(2 4),(8 5),(0 7),(8 8),29.12
