,1,30,18,178,(0 0),(4 0),(-1 -1),(5 2),(2 6),(0 2),(0 15),(0 8),(3 7),(0 11),(2 7),(0 6),(0 9),(5 8),(4 11),30.877
,0,63,20,146,(0 0),(4 0),(0 2),(5 2),(3 9),(0 10),(0 6),(0 9),(4 12),(0 16),(5 7),(4 10),(0 14),(5 14),(4 16),31.583
,0,69,20,158,(0 0),(4 0),(0 10),(5 15),(3 14),(0 2),(0 17),(0 14),(4 5),(0 6),(4 9),(4 7),(0 15),(5 9),(4 10),33.232
,0,63,20,146,(0 0),(4 0),(0 10),(5 2),(0 9),(0 2),(0 6),(3 9),(4 10),(0 14),(5 7),(4 12),(0 18),(5 14),(4 14),32.445
,1,32,20,184,(0 0),(4 0),(0 11),(0 2),(1 2),(-1 -1),(0 17),(3 5),(1 5),(0 7),(3 6),(4 6),(0 15),(5 8),(4 10),33.485
,0,69,20,158,(0 0),(4 0),(0 10),(5 15),(0 14),(0 2),(0 17),(3 14),(4 5),(0 6),(4 9),(4 7),(0 15),(5 9),(4 10),32.499
,1,30,18,178,(0 0),(4 0),(-1 -1),(5 2),(3 8),(0 2),(0 15),(0 6),(1 7),(2 11),(0 7),(3 6),(1 9),(0 8),(1 11),30.687
,1,31,19,181,(1 0),(0 0),(-1 -1),(5 2),(1 2),(1 3),(0 16),(0 7),(3 7),(2 10),(0 6),(1 8),(0 14),(0 8),(1 10),34.077
,1,32,20,184,(1 0),(0 0),(-1 -1),(5 2),(1 2),(2 11),(0 17),(0 5),(3 5),(2 7),(2 6),(0 6),(0 15),(1 8),(0 10),30.841
,0,69,20,158,(0 0),(4 0),(0 10),(4 9),(0 14),(0 2),(0 17),(3 14),(4 5),(0 6),(5 9),(4 7),(0 15),(5 15),(5 10),29.853
,1,32,20,184,(1 0),(0 0),(2 11),(5 2),(1 2),(-1 -1),(0 17),(0 5),(3 5),(2 7),(2 6),(0 6),(0 15),(1 8),(0 10),34.1
,1,30,18,178,(0 0),(5 0),(-1 -1),(0 2),(3 8),(1 2),(0 15),(1 6),(4 6),(2 11),(0 7),(1 7),(1 9),(0 8),(1 11),30.684
,1,32,19,183,(0 0),(5 0),(0 3),(4 2),(0 2),(-1 -1),(0 16),(0 7),(1 10),(1 12),(5 6),(3 10),(0 8),(5 8),(0 10),30.643
,1,32,19,183,(0 0),(4 0),(-1 -1),(5 2),(2 7),(0 2),(0 16),(2 6),(1 10),(1 12),(5 7),(0 6),(0 8),(5 8),(0 10),29.64
