,0,97,24,218,(2 0),(7 0),(0 11),(4 11),(0 19),(5 17),(0 2),(4 13),(0 16),(5 5),(1 3),(0 5),(0 3),(7 4),(0 4),(4 8),(0 8),(0 10),(5 16),(7 9),32.351
,0,97,24,218,(0 0),(5 0),(0 11),(4 11),(0 19),(5 17),(6 2),(4 13),(0 5),(6 5),(6 3),(0 16),(7 3),(5 4),(6 4),(4 8),(0 8),(0 10),(5 16),(5 9),32.911
,0,97,24,218,(0 0),(7 0),(0 11),(4 11),(0 19),(5 17),(5 2),(4 13),(0 5),(5 5),(6 3),(0 16),(5 3),(7 4),(5 4),(4 8),(0 8),(0 10),(5 16),(7 9),31.81
,1,66,22,254,(-1 -1),(6 4),(0 0),(4 1),(0 17),(5 9),(6 3),(0 14),(0 5),(5 14),(4 3),(0 11),(5 3),(7 4),(4 4),(5 6),(0 8),(0 10),(4 8),(4 9),32.325
,0,97,24,218,(0 0),(7 0),(0 11),(4 11),(0 19),(5 17),(5 2),(4 13),(0 16),(5 5),(6 3),(0 5),(5 3),(7 4),(5 4),(4 8),(0 8),(0 10),(5 16),(7 9),32.874
,0,97,24,218,(2 0),(7 0),(0 11),(0 9),(0 19),(5 17),(0 2),(4 13),(0 5),(5 5),(1 3),(0 16),(0 3),(7 4),(0 4),(4 9),(4 11),(0 8),(5 16),(7 9),35.799
,1,68,24,260,(-1 -1),(4 0),(0 0),(0 5),(0 19),(5 11),(5 2),(0 10),(0 13),(6 4),(5 3),(0 16),(6 3),(5 5),(4 4),(4 6),(0 7),(0 9),(4 10),(4 8),35.265
,0,97,24,218,(0 0),(7 0),(4 11),(0 11),(0 19),(5 17),(5 2),(0 13),(0 5),(5 5),(5 3),(0 16),(6 3),(7 4),(5 4),(7 9),(0 9),(0 8),(5 16),(4 9),36.291
,0,99,24,222,(0 0),(7 0),(4 7),(4 5),(0 19),(5 18),(5 2),(0 5),(0 16),(5 12),(6 3),(0 13),(5 3),(7 12),(5 4),(0 8),(0 10),(0 12),(1 9),(1 8),35.443
,0,98,24,220,(0 0),(5 0),(4 14),(0 5),(0 19),(5 19),(6 2),(0 16),(0 8),(5 5),(7 3),(0 11),(6 3),(7 4),(5 4),(7 10),(0 14),(0 7),(5 12),(7 9),32.834
,0,103,24,230,(0 0),(5 0),(4 7),(4 5),(0 19),(5 12),(6 2),(0 5),(0 16),(6 17),(7 3),(0 13),(6 3),(5 17),(5 4),(0 8),(0 10),(0 12),(1 9),(1 8),34.474
,1,67,23,257,(-1 -1),(5 0),(4 13),(0 1),(3 18),(0 15),(6 2),(1 6),(0 3),(5 5),(7 3),(0 10),(6 3),(7 4),(5 4),(0 6),(0 13),(0 9),(5 11),(0 8),36.15
,0,97,24,218,(0 0),(5 0),(0 11),(0 9),(0 19),(5 17),(6 2),(4 13),(0 16),(5 5),(6 3),(0 5),(7 3),(7 4),(5 4),(4 9),(4 11),(0 8),(5 16),(7 9),34.002
,0,103,24,230,(2 0),(7 0),(0 13),(0 5),(0 8),(5 18),(0 2),(4 15),(0 18),(5 5),(0 3),(0 21),(1 3),(7 4),(0 4),(7 10),(4 13),(0 7),(5 12),(7 9),32.466
,0,105,24,234,(2 0),(7 0),(4 5),(0 5),(0 19),(5 17),(0 2),(0 9),(0 16),(6 10),(0 3),(0 13),(1 3),(5 11),(0 4),(4 10),(0 7),(0 12),(5 16),(5 10),34.371
,1,68,21,257,(-1 -1),(4 0),(0 0),(0 5),(0 16),(5 15),(5 2),(4 4),(0 10),(5 9),(6 3),(0 13),(5 3),(7 9),(5 7),(7 7),(0 8),(0 7),(4 8),(4 9),33.302
,0,97,24,218,(0 0),(5 0),(0 11),(0 8),(0 19),(5 17),(6 2),(4 13),(0 5),(5 5),(6 3),(0 16),(7 3),(7 4),(5 4),(7 9),(4 11),(0 10),(5 16),(4 8),35.416
,0,104,24,232,(0 0),(7 0),(4 11),(0 5),(0 19),(5 18),(5 2),(0 13),(0 16),(5 5),(6 3),(0 8),(5 3),(7 4),(5 4),(7 9),(0 11),(0 7),(5 17),(5 16),35.986
,0,97,24,218,(0 0),(7 0),(0 11),(4 11),(0 19),(5 17),(5 2),(4 13),(0 5),(5 5),(5 3),(0 16),(6 3),(7 4),(5 4),(7 9),(0 9),(0 8),(5 16),(4 9),34.719
,0,97,24,218,(0 0),(7 0),(4 11),(0 11),(0 19),(5 17),(5 2),(0 13),(0 5),(5 5),(6 3),(0 16),(5 3),(7 4),(5 4),(7 9),(0 9),(0 8),(5 16),(4 9),32.645
,0,97,24,218,(0 0),(7 0),(0 11),(0 8),(0 19),(5 17),(5 2),(4 13),(0 5),(5 5),(6 3),(0 16),(5 3),(7 4),(5 4),(4 8),(4 11),(0 10),(5 16),(7 9),31.592
,1,64,23,251,(-1 -1),(7 4),(0 0),(4 1),(0 18),(5 11),(6 3),(0 5),(0 12),(5 5),(5 3),(0 15),(4 3),(4 4),(5 4),(7 8),(0 10),(0 9),(1 8),(0 8),35.902
,1,66,22,254,(-1 -1),(5 5),(4 0),(0 1),(0 17),(5 12),(2 3),(0 4),(0 11),(6 6),(1 3),(0 14),(0 3),(4 5),(6 5),(5 9),(0 7),(0 10),(0 9),(3 9),31.738
,0,102,24,228,(0 0),(7 0),(4 5),(0 5),(0 19),(5 17),(5 2),(0 9),(0 16),(5 11),(6 3),(0 13),(5 3),(7 12),(5 4),(7 10),(0 7),(0 12),(4 10),(4 11),32.666
,1,68,23,259,(-1 -1),(6 4),(0 0),(4 1),(0 12),(5 12),(6 3),(0 9),(0 5),(5 17),(4 3),(0 17),(5 3),(7 4),(4 4),(5 6),(4 10),(1 8),(4 9),(0 8),38.243
,0,113,24,250,(0 0),(7 0),(4 5),(0 5),(0 18),(5 17),(5 2),(0 9),(0 15),(5 10),(5 3),(0 12),(6 3),(7 11),(5 4),(4 10),(0 7),(0 23),(5 16),(7 10),34.421
,1,68,24,260,(-1 -1),(4 0),(0 0),(0 5),(0 19),(5 11),(5 2),(0 16),(0 13),(6 4),(6 3),(0 10),(5 3),(5 5),(4 4),(4 6),(0 7),(0 9),(5 10),(4 8),34.497
,1,67,23,257,(-1 -1),(6 0),(0 10),(2 1),(0 18),(5 14),(0 2),(4 11),(0 3),(5 4),(5 3),(0 15),(7 3),(7 4),(0 6),(4 6),(0 7),(0 9),(4 10),(4 8),32.55
,1,66,22,254,(-1 -1),(2 4),(4 0),(0 1),(2 17),(0 9),(1 3),(4 5),(3 11),(0 14),(3 3),(2 14),(0 3),(3 4),(0 4),(0 6),(4 8),(3 10),(0 8),(3 9),34.946
