,1,14,16,144,(-1 -1),(0 10),(8 2),(0 2),(5 3),(8 5),(5 5),(4 8),(4 7),(0 7),(8 9),(4 10),28.529
,1,12,16,140,(-1 -1),(0 2),(7 2),(0 11),(4 3),(7 5),(4 5),(0 6),(9 7),(1 8),(0 8),(5 9),29.591
,1,12,16,140,(-1 -1),(0 2),(4 2),(5 11),(5 3),(4 5),(7 5),(0 6),(6 7),(6 8),(0 8),(1 9),29.202
,1,12,16,140,(-1 -1),(1 2),(0 2),(4 11),(5 3),(8 5),(5 5),(1 6),(0 7),(4 8),(9 9),(0 8),27.316
,1,12,16,140,(-1 -1),(4 2),(0 2),(0 11),(1 3),(8 5),(1 5),(4 6),(5 8),(1 8),(0 7),(5 9),26.099
,1,12,16,140,(-1 -1),(5 2),(3 2),(4 11),(0 3),(3 5),(0 5),(5 6),(0 8),(5 8),(9 7),(0 9),29.011
,0,40,16,96,(5 0),(0 12),(8 9),(0 2),(7 7),(8 12),(0 7),(0 10),(7 9),(3 7),(9 9),(4 10),28.366
,1,12,16,140,(-1 -1),(3 2),(7 2),(0 11),(0 3),(8 5),(0 5),(4 6),(3 7),(0 8),(4 8),(5 9),28.787
,1,12,16,140,(-1 -1),(1 2),(0 2),(0 11),(5 3),(5 5),(7 5),(0 6),(7 8),(0 8),(4 7),(5 9),29.402
,1,14,16,144,(-1 -1),(0 2),(4 2),(5 2),(1 6),(4 7),(6 7),(0 8),(0 7),(0 10),(9 7),(6 10),28.683
,0,40,16,96,(0 0),(4 9),(8 9),(5 2),(7 7),(8 12),(0 7),(3 7),(3 9),(4 13),(9 9),(0 10),26.199
,1,12,16,140,(-1 -1),(5 2),(3 2),(4 11),(0 3),(3 5),(0 5),(5 6),(0 8),(5 8),(9 7),(0 9),25.678
,1,12,16,140,(-1 -1),(0 2),(4 2),(0 11),(5 3),(8 5),(5 5),(1 6),(1 8),(2 8),(0 7),(6 9),31.109
,1,12,16,140,(-1 -1),(1 2),(0 2),(4 11),(5 3),(8 5),(5 5),(1 6),(0 7),(4 8),(9 9),(0 8),50.329
,1,12,16,140,(-1 -1),(5 2),(0 2),(4 11),(1 3),(3 5),(0 5),(5 6),(9 7),(5 8),(9 8),(0 9),44.539
,1,12,16,140,(-1 -1),(4 2),(3 2),(0 11),(0 3),(8 5),(1 5),(4 6),(5 8),(1 8),(0 7),(5 9),44.862
,1,14,16,144,(-1 -1),(3 2),(0 2),(1 8),(7 3),(8 5),(0 5),(3 6),(7 7),(0 13),(0 8),(6 9),25.373
,1,12,16,140,(-1 -1),(6 2),(3 2),(5 11),(0 3),(4 5),(0 5),(6 6),(3 7),(6 8),(4 9),(0 8),25.684
,1,12,16,140,(-1 -1),(3 2),(0 2),(4 11),(7 3),(8 5),(0 5),(3 6),(7 7),(4 8),(9 9),(0 8),26.459
,1,12,16,140,(-1 -1),(0 2),(4 2),(4 11),(5 3),(8 5),(4 5),(0 6),(7 7),(4 8),(9 9),(0 8),27.31
,1,12,16,140,(-1 -1),(2 2),(0 2),(1 11),(6 3),(0 5),(6 5),(2 6),(9 7),(2 8),(0 9),(6 8),27.941
,0,45,16,106,(0 0),(0 12),(4 13),(5 2),(4 7),(4 9),(7 7),(0 10),(6 9),(0 7),(5 13),(6 10),28.543
,1,12,16,140,(-1 -1),(6 2),(3 2),(5 11),(0 3),(4 5),(0 5),(6 6),(3 7),(6 8),(4 9),(0 8),29.211
,1,12,16,140,(-1 -1),(0 2),(4 2),(0 11),(5 3),(8 5),(4 5),(0 6),(7 7),(0 8),(4 8),(5 9),27.841
,1,12,16,140,(-1 -1),(5 2),(0 2),(4 11),(1 3),(3 5),(0 5),(6 6),(0 8),(6 8),(5 7),(0 9),28.583
,1,12,16,140,(-1 -1),(5 2),(3 2),(1 11),(0 3),(0 5),(2 5),(5 6),(9 7),(2 8),(0 9),(6 8),26.46
,1,12,16,140,(-1 -1),(0 2),(4 2),(4 11),(5 3),(8 5),(5 5),(1 6),(0 7),(4 8),(9 9),(0 8),30.074
,1,12,16,140,(-1 -1),(1 2),(0 2),(0 11),(5 3),(5 5),(7 5),(1 6),(7 8),(1 8),(0 7),(5 9),29.522
,0,39,16,94,(5 0),(6 12),(8 9),(0 2),(7 7),(4 12),(0 7),(3 7),(3 9),(4 9),(9 9),(0 10),26.541
,1,12,16,140,(-1 -1),(0 2),(7 2),(5 11),(4 3),(4 5),(6 5),(0 6),(9 7),(6 8),(4 9),(0 8),29.04
,1,12,16,140,(-1 -1),(0 2),(7 2),(0 11),(4 3),(8 5),(5 5),(1 6),(5 8),(1 8),(0 7),(5 9),31.593
,1,12,16,140,(-1 -1),(0 2),(4 2),(4 11),(5 3),(8 5),(4 5),(0 6),(7 7),(4 8),(9 9),(0 8),31.866
,1,12,16,140,(-1 -1),(5 2),(0 2),(4 11),(1 3),(3 5),(0 5),(6 6),(0 8),(6 8),(5 7),(0 9),28.775
,1,12,16,140,(-1 -1),(0 2),(4 2),(5 11),(5 3),(4 5),(6 5),(0 6),(9 7),(6 8),(4 9),(0 8),32.268
,1,12,16,140,(-1 -1),(5 2),(3 2),(4 11),(0 3),(3 5),(0 5),(6 6),(0 8),(6 8),(5 7),(0 9),29.161
,1,12,16,140,(-1 -1),(5 2),(3 2),(4 11),(0 3),(0 5),(2 5),(6 6),(2 8),(6 8),(5 7),(0 9),31.804
,1,12,16,140,(-1 -1),(4 2),(0 2),(4 11),(1 3),(8 5),(1 5),(4 6),(0 7),(4 8),(9 9),(0 8),29.374
