,1,12,16,140,(-1 -1),(3 2),(7 2),(0 11),(0 3),(8 5),(0 5),(4 6),(3 7),(0 8),(4 8),(5 9),30.723
,1,12,16,140,(-1 -1),(0 2),(7 2),(5 11),(4 3),(4 5),(7 5),(0 6),(6 7),(6 8),(4 9),(0 8),29.834
,1,12,16,140,(-1 -1),(3 2),(7 2),(4 11),(0 3),(8 5),(0 5),(3 6),(7 7),(4 8),(9 9),(0 8),30.666
,1,12,16,140,(-1 -1),(5 2),(0 2),(5 11),(1 3),(3 5),(0 5),(5 6),(9 7),(5 8),(0 8),(1 9),30.468
,1,14,16,144,(-1 -1),(1 10),(0 2),(2 2),(7 3),(0 5),(7 5),(6 8),(6 7),(2 7),(0 9),(5 10),31.87
,1,12,16,140,(-1 -1),(3 2),(7 2),(0 11),(0 3),(8 5),(0 5),(4 6),(3 7),(1 8),(0 8),(5 9),29.764
,0,39,16,94,(0 0),(6 12),(4 9),(5 2),(7 7),(4 12),(0 7),(3 7),(3 9),(5 9),(9 9),(0 10),28.997
,1,12,16,140,(-1 -1),(2 2),(0 2),(1 11),(6 3),(0 5),(7 5),(3 6),(2 7),(2 8),(0 9),(6 8),33.813
,1,12,16,140,(-1 -1),(5 2),(3 2),(4 11),(0 3),(3 5),(0 5),(6 6),(0 8),(6 8),(5 7),(0 9),30.129
,1,12,16,140,(-1 -1),(0 2),(4 2),(4 11),(5 3),(8 5),(4 5),(0 6),(7 7),(4 8),(9 9),(0 8),37.929
,1,12,16,140,(-1 -1),(6 2),(3 2),(5 11),(0 3),(4 5),(1 5),(6 6),(1 8),(6 8),(0 7),(1 9),30.161
,1,12,16,140,(-1 -1),(3 2),(7 2),(1 11),(0 3),(0 5),(7 5),(3 6),(2 7),(2 8),(0 9),(6 8),37.886
,1,12,16,140,(-1 -1),(0 2),(4 2),(4 11),(5 3),(8 5),(5 5),(1 6),(0 7),(4 8),(9 9),(0 8),30.679
,1,12,16,140,(-1 -1),(0 2),(4 2),(5 11),(5 3),(4 5),(6 5),(0 6),(9 7),(6 8),(4 9),(0 8),27.005
,1,12,16,140,(-1 -1),(0 2),(7 2),(4 11),(4 3),(8 5),(4 5),(0 6),(7 7),(4 8),(9 9),(0 8),29.057
,1,12,16,140,(-1 -1),(5 2),(0 2),(1 11),(1 3),(0 5),(2 5),(5 6),(9 7),(2 8),(0 9),(6 8),26.76
,1,12,16,140,(-1 -1),(4 2),(3 2),(4 11),(0 3),(8 5),(1 5),(4 6),(0 7),(4 8),(9 9),(0 8),0.358
,1,13,16,142,(-1 -1),(5 2),(9 2),(0 2),(5 6),(8 6),(0 7),(4 8),(4 7),(4 10),(3 7),(0 10),0.254
,1,12,16,140,(-1 -1),(5 2),(3 2),(4 11),(0 3),(0 5),(2 5),(6 6),(2 8),(6 8),(5 7),(0 9),0.257
,1,12,16,140,(-1 -1),(0 2),(7 2),(4 11),(4 3),(8 5),(4 5),(0 6),(7 7),(4 8),(9 9),(0 8),0.27
,1,12,16,140,(-1 -1),(0 2),(4 2),(4 11),(5 3),(8 5),(4 5),(0 6),(7 7),(4 8),(9 9),(0 8),0.257
,1,14,16,144,(-1 -1),(4 2),(0 2),(0 10),(1 3),(8 5),(1 5),(0 8),(0 7),(4 7),(9 9),(5 10),0.272
,1,12,16,140,(-1 -1),(6 2),(0 2),(5 11),(1 3),(4 5),(1 5),(6 6),(0 7),(6 8),(4 9),(0 8),0.26
,1,14,16,144,(-1 -1),(0 2),(4 2),(1 8),(5 3),(8 5),(5 5),(1 6),(6 8),(0 13),(0 7),(6 9),0.26
,1,14,15,143,(-1 -1),(4 11),(8 2),(0 2),(5 3),(8 5),(5 5),(0 7),(4 7),(4 8),(8 9),(0 9),0.243
,1,14,16,144,(-1 -1),(0 2),(4 2),(5 2),(1 6),(4 7),(6 7),(0 8),(0 7),(0 10),(9 7),(6 10),0.301
,1,14,15,143,(-1 -1),(4 11),(8 2),(0 2),(5 3),(8 5),(5 5),(0 7),(4 7),(4 8),(8 9),(0 9),0.272
,1,12,16,140,(-1 -1),(0 2),(4 2),(0 11),(5 3),(8 5),(5 5),(1 6),(5 8),(1 8),(0 7),(5 9),0.246
,1,12,16,140,(-1 -1),(2 2),(0 2),(1 11),(6 3),(0 5),(7 5),(2 6),(6 7),(2 8),(0 9),(6 8),0.309
,1,12,16,140,(-1 -1),(3 2),(0 2),(4 11),(7 3),(8 5),(0 5),(4 6),(3 7),(4 8),(9 9),(0 8),0.265
,1,13,16,142,(-1 -1),(6 2),(5 2),(0 2),(5 6),(8 6),(0 7),(4 8),(4 7),(4 10),(3 7),(0 10),0.277
,1,14,16,144,(-1 -1),(0 2),(7 2),(5 10),(4 3),(4 5),(6 5),(6 8),(9 7),(0 7),(4 9),(0 10),0.333
,1,12,16,140,(-1 -1),(0 2),(4 2),(5 11),(5 3),(4 5),(7 5),(0 6),(6 7),(6 8),(4 9),(0 8),0.263
,1,12,16,140,(-1 -1),(0 2),(7 2),(5 11),(4 3),(4 5),(6 5),(0 6),(9 7),(6 8),(4 9),(0 8),0.254
,1,12,16,140,(-1 -1),(4 2),(0 2),(4 11),(1 3),(8 5),(0 5),(3 6),(7 7),(4 8),(9 9),(0 8),0.24
,1,13,16,142,(0 0),(5 2),(9 2),(-1 -1),(5 6),(8 6),(1 7),(4 8),(4 7),(0 10),(0 7),(4 10),0.316
,1,12,16,140,(-1 -1),(6 2),(3 2),(5 11),(0 3),(4 5),(0 5),(6 6),(3 7),(6 8),(4 9),(0 8),0.247
,1,14,16,144,(-1 -1),(2 2),(0 2),(1 10),(6 3),(0 5),(7 5),(6 8),(6 7),(2 7),(0 9),(6 10),0.288
,1,12,16,140,(-1 -1),(0 2),(4 2),(0 11),(5 3),(5 5),(7 5),(1 6),(7 8),(1 8),(0 7),(5 9),0.264
,1,16,15,147,(-1 -1),(0 2),(4 2),(5 2),(1 6),(8 7),(5 7),(4 10),(0 7),(4 12),(4 7),(0 8),0.244
,1,12,16,140,(-1 -1),(6 2),(3 2),(5 11),(0 3),(4 5),(0 5),(6 6),(3 7),(6 8),(4 9),(0 8),0.25
,1,13,16,142,(-1 -1),(6 2),(0 2),(4 11),(1 3),(1 5),(3 5),(6 6),(3 8),(4 8),(0 7),(0 10),0.31
,1,12,16,140,(-1 -1),(6 2),(0 2),(5 11),(1 3),(4 5),(0 5),(6 6),(3 7),(6 8),(4 9),(0 8),0.277
,1,14,16,144,(-1 -1),(2 2),(0 2),(1 10),(6 3),(0 5),(7 5),(6 8),(6 7),(2 7),(0 9),(6 10),0.31
,1,12,16,140,(-1 -1),(1 2),(0 2),(4 11),(5 3),(8 5),(5 5),(0 6),(4 7),(4 8),(9 9),(0 8),0.308
,1,12,16,140,(-1 -1),(2 2),(0 2),(1 11),(6 3),(0 5),(7 5),(2 6),(6 7),(2 8),(0 9),(6 8),0.344
,1,12,16,140,(-1 -1),(0 2),(7 2),(4 11),(4 3),(8 5),(4 5),(0 6),(7 7),(4 8),(9 9),(0 8),0.313
,1,13,16,142,(0 0),(6 2),(5 2),(-1 -1),(5 6),(8 6),(1 7),(4 8),(4 7),(0 10),(0 7),(4 10),0.315
,1,12,16,140,(-1 -1),(0 2),(4 2),(4 11),(5 3),(8 5),(5 5),(0 6),(4 7),(4 8),(9 9),(0 8),0.353
,1,15,16,146,(-1 -1),(5 2),(9 2),(0 2),(5 8),(8 8),(2 7),(5 6),(0 7),(4 10),(1 7),(0 10),0.291
,1,12,16,140,(-1 -1),(6 2),(3 2),(5 11),(0 3),(4 5),(0 5),(6 6),(3 7),(6 8),(4 9),(0 8),0.281
,1,12,16,140,(-1 -1),(3 2),(7 2),(4 11),(0 3),(8 5),(0 5),(4 6),(3 7),(4 8),(9 9),(0 8),0.33
,1,12,16,140,(-1 -1),(0 2),(4 2),(4 11),(5 3),(8 5),(4 5),(0 6),(7 7),(4 8),(9 9),(0 8),0.252
,1,12,16,140,(-1 -1),(6 2),(3 2),(5 11),(0 3),(4 5),(1 5),(6 6),(0 7),(6 8),(0 8),(1 9),0.291
,1,12,16,140,(-1 -1),(0 2),(4 2),(4 11),(5 3),(8 5),(4 5),(0 6),(7 7),(4 8),(9 9),(0 8),0.263
,1,12,16,140,(-1 -1),(5 2),(3 2),(4 11),(0 3),(3 5),(0 5),(5 6),(0 8),(5 8),(9 7),(0 9),0.302
,1,12,16,140,(-1 -1),(4 2),(3 2),(0 11),(0 3),(8 5),(0 5),(3 6),(7 7),(1 8),(0 8),(5 9),0.324
,1,12,16,140,(-1 -1),(0 2),(7 2),(5 11),(4 3),(4 5),(7 5),(0 6),(6 7),(6 8),(4 9),(0 8),0.29
,1,12,16,140,(-1 -1),(3 2),(0 2),(4 11),(7 3),(8 5),(0 5),(3 6),(7 7),(4 8),(9 9),(0 8),0.273
,1,14,16,144,(4 0),(0 2),(9 2),(-1 -1),(1 6),(8 7),(5 7),(0 8),(0 7),(0 10),(4 7),(4 10),0.26
,1,12,16,140,(-1 -1),(0 2),(4 2),(4 11),(5 3),(8 5),(5 5),(1 6),(0 7),(4 8),(9 9),(0 8),0.282
,1,12,16,140,(-1 -1),(0 2),(4 2),(4 11),(5 3),(8 5),(4 5),(0 6),(7 7),(4 8),(9 9),(0 8),0.269
,1,12,16,140,(-1 -1),(5 2),(0 2),(5 11),(1 3),(3 5),(0 5),(5 6),(9 7),(5 8),(0 8),(1 9),0.337
,1,12,16,140,(-1 -1),(0 2),(7 2),(0 11),(4 3),(8 5),(5 5),(1 6),(5 8),(1 8),(0 7),(5 9),0.244
,1,15,16,146,(-1 -1),(6 2),(0 2),(1 2),(5 8),(8 8),(4 10),(6 6),(5 7),(1 7),(0 7),(0 10),0.282
,1,12,16,140,(-1 -1),(1 2),(0 2),(4 11),(5 3),(8 5),(5 5),(1 6),(0 7),(4 8),(9 9),(0 8),0.249
,1,14,16,144,(-1 -1),(4 10),(8 2),(0 2),(5 3),(8 5),(5 5),(4 8),(4 7),(0 7),(8 9),(0 10),0.247
,1,12,16,140,(-1 -1),(6 2),(3 2),(5 11),(0 3),(4 5),(0 5),(6 6),(3 7),(6 8),(4 9),(0 8),0.253
,1,14,15,143,(0 0),(4 11),(5 2),(-1 -1),(6 3),(8 5),(5 5),(0 7),(4 7),(4 8),(8 9),(0 9),0.315
,1,12,16,140,(-1 -1),(5 2),(0 2),(4 11),(1 3),(0 5),(2 5),(6 6),(2 8),(6 8),(5 7),(0 9),0.263
,1,13,16,142,(0 0),(5 2),(9 2),(-1 -1),(5 6),(8 6),(0 7),(4 8),(4 7),(4 10),(3 7),(0 10),0.248
,0,47,16,110,(0 0),(4 7),(9 7),(5 2),(7 14),(8 10),(4 13),(4 11),(7 13),(0 7),(8 7),(0 10),9.714
,1,12,16,140,(-1 -1),(5 2),(0 2),(4 11),(1 3),(3 5),(0 5),(5 6),(9 7),(5 8),(9 8),(0 9),8.863
,1,12,16,140,(-1 -1),(0 2),(7 2),(4 11),(4 3),(8 5),(4 5),(0 6),(7 7),(4 8),(9 9),(0 8),10.491
,1,12,16,140,(-1 -1),(6 2),(0 2),(5 11),(1 3),(4 5),(1 5),(6 6),(0 7),(6 8),(4 9),(0 8),9.212
,1,12,16,140,(-1 -1),(0 2),(4 2),(0 11),(5 3),(8 5),(5 5),(1 6),(1 8),(2 8),(0 7),(6 9),9.754
,0,45,16,106,(5 0),(6 9),(0 13),(0 2),(0 7),(0 9),(3 7),(6 7),(2 9),(6 13),(1 13),(2 10),9.711
,1,12,16,140,(-1 -1),(0 2),(4 2),(5 11),(5 3),(4 5),(6 5),(0 6),(9 7),(6 8),(4 9),(0 8),0.542
,0,45,16,106,(0 0),(0 12),(4 13),(5 2),(4 7),(4 9),(7 7),(0 10),(6 9),(0 7),(5 13),(6 10),0.403
,1,12,16,140,(-1 -1),(5 2),(3 2),(1 11),(0 3),(0 5),(2 5),(5 6),(9 7),(2 8),(0 9),(6 8),0.459
,0,47,16,110,(0 0),(4 10),(8 13),(5 2),(7 7),(8 9),(4 7),(4 14),(7 9),(0 7),(9 13),(0 10),0.487
,1,12,16,140,(-1 -1),(1 2),(0 2),(4 11),(5 3),(8 5),(5 5),(1 6),(0 7),(4 8),(9 9),(0 8),0.465
,1,12,16,140,(-1 -1),(6 2),(3 2),(5 11),(0 3),(4 5),(0 5),(6 6),(3 7),(6 8),(4 9),(0 8),0.443
,1,12,16,140,(-1 -1),(4 2),(0 2),(4 11),(1 3),(8 5),(0 5),(3 6),(7 7),(4 8),(9 9),(0 8),0.416
,1,12,16,140,(-1 -1),(5 2),(3 2),(4 11),(0 3),(3 5),(0 5),(5 6),(0 8),(5 8),(9 7),(0 9),0.5
,1,12,16,140,(-1 -1),(0 2),(7 2),(0 11),(4 3),(8 5),(5 5),(1 6),(1 8),(2 8),(0 7),(6 9),0.498
,1,14,16,144,(0 0),(0 10),(5 2),(-1 -1),(6 3),(8 5),(5 5),(4 8),(4 7),(0 7),(8 9),(4 10),0.395
,1,12,16,140,(-1 -1),(4 2),(3 2),(0 11),(0 3),(8 5),(1 5),(4 6),(5 8),(1 8),(0 7),(5 9),0.437
,1,12,16,140,(-1 -1),(5 2),(0 2),(1 11),(1 3),(0 5),(2 5),(5 6),(9 7),(2 8),(0 9),(6 8),0.411
,1,12,16,140,(-1 -1),(1 2),(0 2),(0 11),(5 3),(8 5),(5 5),(1 6),(5 8),(1 8),(0 7),(5 9),0.383
,1,13,16,142,(0 0),(5 2),(9 2),(-1 -1),(5 6),(8 6),(1 7),(4 8),(4 7),(4 10),(0 7),(0 10),0.472
,1,12,16,140,(-1 -1),(0 2),(4 2),(5 11),(5 3),(4 5),(6 5),(0 6),(9 7),(6 8),(4 9),(0 8),0.427
,1,14,16,144,(-1 -1),(0 2),(4 2),(5 11),(5 3),(4 5),(1 6),(6 6),(5 9),(6 8),(0 7),(1 9),0.433
,1,12,16,140,(-1 -1),(0 2),(7 2),(4 11),(4 3),(8 5),(4 5),(0 6),(7 7),(4 8),(9 9),(0 8),0.455
,1,12,16,140,(-1 -1),(4 2),(0 2),(4 11),(1 3),(8 5),(1 5),(4 6),(0 7),(4 8),(9 9),(0 8),0.388
,1,12,16,140,(-1 -1),(1 2),(0 2),(0 11),(5 3),(5 5),(7 5),(1 6),(7 8),(1 8),(0 7),(5 9),0.397
,1,12,16,140,(-1 -1),(0 2),(7 2),(4 11),(4 3),(8 5),(4 5),(0 6),(7 7),(4 8),(9 9),(0 8),0.468
,1,14,15,143,(0 0),(5 2),(9 2),(-1 -1),(5 6),(8 6),(4 8),(0 7),(4 7),(4 11),(7 8),(0 9),0.398
,1,13,16,142,(-1 -1),(5 2),(3 2),(0 11),(0 3),(0 5),(2 5),(5 6),(6 8),(2 8),(9 7),(6 10),0.444
,1,12,16,140,(-1 -1),(0 2),(7 2),(5 11),(4 3),(4 5),(6 5),(0 6),(9 7),(6 8),(4 9),(0 8),0.44
,1,14,16,144,(-1 -1),(0 10),(5 2),(0 2),(6 3),(8 5),(5 5),(4 8),(4 7),(0 7),(8 9),(4 10),0.438
,1,12,16,140,(-1 -1),(1 2),(0 2),(4 11),(5 3),(8 5),(5 5),(0 6),(4 7),(4 8),(9 9),(0 8),0.519
,1,12,16,140,(-1 -1),(4 2),(0 2),(0 11),(1 3),(8 5),(1 5),(4 6),(5 8),(1 8),(0 7),(5 9),0.425
,1,12,16,140,(-1 -1),(5 2),(3 2),(4 11),(0 3),(3 5),(0 5),(5 6),(9 7),(5 8),(9 8),(0 9),0.449
,1,12,16,140,(-1 -1),(6 2),(0 2),(5 11),(1 3),(4 5),(0 5),(6 6),(3 7),(6 8),(4 9),(0 8),0.5
,1,12,16,140,(-1 -1),(0 2),(7 2),(0 11),(4 3),(5 5),(7 5),(1 6),(7 8),(1 8),(0 7),(5 9),0.562
,1,12,16,140,(-1 -1),(5 2),(0 2),(4 11),(1 3),(3 5),(0 5),(5 6),(0 8),(5 8),(9 7),(0 9),0.607
,1,12,16,140,(-1 -1),(5 2),(3 2),(1 11),(0 3),(0 5),(2 5),(6 6),(5 7),(2 8),(0 9),(6 8),0.711
,1,12,16,140,(-1 -1),(6 2),(3 2),(5 11),(0 3),(4 5),(0 5),(6 6),(3 7),(6 8),(4 9),(0 8),0.556
,1,12,16,140,(-1 -1),(4 2),(3 2),(4 11),(0 3),(8 5),(0 5),(3 6),(7 7),(4 8),(9 9),(0 8),0.626
,1,12,16,140,(-1 -1),(3 2),(7 2),(4 11),(0 3),(8 5),(0 5),(3 6),(7 7),(4 8),(9 9),(0 8),0.599
,0,40,16,96,(0 0),(0 9),(9 9),(5 2),(7 7),(8 12),(4 7),(0 7),(7 9),(0 13),(8 9),(4 10),0.64
,1,12,16,140,(-1 -1),(3 2),(0 2),(0 11),(7 3),(8 5),(0 5),(3 6),(7 7),(0 8),(4 8),(5 9),0.595
,1,14,16,144,(0 0),(-1 -1),(5 2),(0 10),(6 3),(8 5),(5 5),(4 8),(4 7),(0 7),(9 9),(5 10),0.743
,1,12,16,140,(-1 -1),(6 2),(3 2),(5 11),(0 3),(4 5),(0 5),(6 6),(3 7),(6 8),(4 9),(0 8),0.56
,1,12,16,140,(-1 -1),(2 2),(0 2),(1 11),(6 3),(0 5),(6 5),(2 6),(9 7),(2 8),(0 9),(6 8),0.576
,1,12,16,140,(-1 -1),(5 2),(0 2),(4 11),(1 3),(0 5),(2 5),(6 6),(2 8),(6 8),(5 7),(0 9),0.743
,1,12,16,140,(-1 -1),(4 2),(0 2),(4 11),(1 3),(8 5),(1 5),(4 6),(0 7),(4 8),(9 9),(0 8),0.81
,1,12,16,140,(-1 -1),(5 2),(3 2),(4 11),(0 3),(3 5),(0 5),(5 6),(9 7),(5 8),(9 8),(0 9),0.521
,1,12,16,140,(-1 -1),(0 2),(4 2),(4 11),(5 3),(8 5),(5 5),(1 6),(0 7),(4 8),(9 9),(0 8),0.736
,1,12,16,140,(-1 -1),(4 2),(0 2),(0 11),(1 3),(8 5),(0 5),(3 6),(7 7),(0 8),(4 8),(5 9),0.603
,1,12,16,140,(-1 -1),(0 2),(4 2),(5 11),(5 3),(4 5),(6 5),(0 6),(9 7),(6 8),(4 9),(0 8),0.567
,1,14,16,144,(-1 -1),(4 2),(3 2),(1 8),(0 3),(8 5),(1 5),(4 6),(6 8),(0 13),(0 7),(6 9),0.549
,1,14,16,144,(-1 -1),(0 10),(5 2),(0 2),(6 3),(8 5),(5 5),(4 8),(4 7),(0 7),(8 9),(4 10),0.684
,1,12,16,140,(-1 -1),(3 2),(7 2),(4 11),(0 3),(8 5),(0 5),(3 6),(7 7),(4 8),(9 9),(0 8),0.712
,1,12,16,140,(-1 -1),(4 2),(3 2),(0 11),(0 3),(8 5),(1 5),(4 6),(5 8),(1 8),(0 7),(5 9),0.602
,0,45,16,106,(0 0),(0 12),(8 13),(5 2),(7 7),(8 9),(4 7),(0 10),(7 9),(0 7),(9 13),(4 10),3.872
,1,12,16,140,(-1 -1),(5 2),(0 2),(1 11),(1 3),(0 5),(2 5),(5 6),(9 7),(2 8),(0 9),(6 8),3.703
,1,12,16,140,(-1 -1),(0 2),(7 2),(0 11),(4 3),(4 5),(7 5),(0 6),(6 7),(0 8),(5 9),(6 8),3.96
,1,12,16,140,(-1 -1),(1 2),(0 2),(0 11),(5 3),(8 5),(5 5),(1 6),(0 7),(0 8),(4 8),(5 9),4.095
,0,45,16,106,(5 0),(0 12),(8 13),(0 2),(7 7),(8 9),(0 7),(0 10),(7 9),(3 7),(9 13),(4 10),4.735
,0,38,16,92,(0 0),(4 12),(9 7),(5 2),(7 10),(8 12),(4 9),(4 7),(7 9),(0 7),(8 7),(0 10),4.119
,0,42,16,100,(0 0),(4 10),(8 9),(5 2),(7 7),(8 12),(0 7),(4 14),(7 9),(3 7),(9 9),(0 10),3.907
,1,12,16,140,(-1 -1),(0 2),(7 2),(4 11),(4 3),(8 5),(5 5),(0 6),(4 7),(4 8),(9 9),(0 8),5.003
,1,12,16,140,(-1 -1),(5 2),(0 2),(4 11),(1 3),(3 5),(0 5),(5 6),(9 7),(5 8),(9 8),(0 9),4.144
,1,12,16,140,(-1 -1),(0 2),(7 2),(4 11),(4 3),(8 5),(4 5),(0 6),(7 7),(4 8),(9 9),(0 8),3.247
,0,48,16,112,(5 0),(6 7),(4 13),(0 2),(3 7),(4 9),(0 7),(6 14),(3 9),(6 11),(5 13),(0 10),3.26
,1,12,16,140,(-1 -1),(2 2),(0 2),(1 11),(6 3),(0 5),(7 5),(2 6),(6 7),(2 8),(0 9),(6 8),3.251
,1,12,16,140,(-1 -1),(3 2),(7 2),(4 11),(0 3),(8 5),(0 5),(3 6),(7 7),(4 8),(9 9),(0 8),3.645
,1,12,16,140,(-1 -1),(0 2),(4 2),(0 11),(5 3),(4 5),(6 5),(0 6),(9 7),(0 8),(5 9),(6 8),3.259
,0,38,16,92,(5 0),(0 12),(8 7),(0 2),(3 10),(4 12),(0 9),(0 7),(3 9),(4 7),(9 7),(6 10),3.43
,1,12,16,140,(-1 -1),(0 2),(7 2),(0 11),(4 3),(5 5),(7 5),(1 6),(7 8),(1 8),(0 7),(5 9),3.783
,1,12,16,140,(-1 -1),(0 2),(7 2),(5 11),(4 3),(4 5),(7 5),(0 6),(6 7),(6 8),(4 9),(0 8),3.116
,0,38,16,92,(0 0),(0 12),(9 7),(5 2),(3 10),(4 12),(0 9),(0 7),(3 9),(4 7),(8 7),(6 10),3.202
,1,12,16,140,(-1 -1),(3 2),(0 2),(4 11),(7 3),(8 5),(0 5),(3 6),(7 7),(4 8),(9 9),(0 8),3.547
,0,40,16,96,(5 0),(0 12),(9 9),(0 2),(7 7),(8 12),(0 7),(0 10),(7 9),(3 7),(8 9),(4 10),3.215
,1,12,16,140,(-1 -1),(3 2),(0 2),(4 11),(7 3),(8 5),(0 5),(3 6),(7 7),(4 8),(9 9),(0 8),3.803
,1,12,16,140,(-1 -1),(1 2),(0 2),(0 11),(5 3),(8 5),(5 5),(1 6),(5 8),(1 8),(0 7),(5 9),3.145
,1,12,16,140,(-1 -1),(0 2),(7 2),(5 11),(4 3),(4 5),(6 5),(0 6),(9 7),(6 8),(4 9),(0 8),3.147
,0,43,16,102,(5 0),(0 7),(9 9),(0 2),(7 7),(8 12),(4 7),(0 14),(7 9),(0 11),(8 9),(4 10),0.312
