,1,8,10,126,(4 1),(10 0),(6 0),(0 0),(-1 -1),(0 1),(9 5),(4 4),(4 2),(2 2),(0 3),(0 5),(3 8),(0 7),30.844
,1,8,10,126,(0 1),(6 0),(-1 -1),(0 0),(8 0),(2 1),(9 4),(4 5),(4 2),(0 2),(2 3),(2 5),(0 7),(0 8),33.663
,1,8,10,126,(4 1),(6 0),(-1 -1),(0 0),(8 0),(0 1),(9 4),(4 5),(0 2),(2 2),(4 3),(0 5),(0 7),(0 8),30.27
,1,8,10,126,(2 1),(0 0),(-1 -1),(2 0),(8 0),(4 1),(9 4),(4 5),(4 2),(2 2),(6 3),(0 5),(0 7),(0 8),30.896
,1,8,10,126,(2 1),(0 0),(8 0),(2 0),(-1 -1),(4 1),(9 4),(4 5),(4 2),(2 2),(6 3),(0 5),(0 7),(0 8),29.604
,1,9,10,128,(10 1),(0 0),(-1 -1),(6 0),(2 0),(6 1),(4 4),(7 6),(6 2),(8 2),(10 3),(0 5),(0 7),(0 8),34.047
,1,10,10,130,(4 0),(10 1),(0 4),(6 0),(0 0),(4 1),(-1 -1),(7 6),(4 2),(8 2),(6 3),(4 5),(0 8),(4 7),29.747
,1,8,10,126,(8 1),(10 0),(0 0),(4 0),(-1 -1),(4 1),(5 5),(0 4),(4 2),(8 2),(6 3),(10 5),(0 8),(8 7),31.37
,1,10,10,130,(9 0),(9 4),(-1 -1),(4 0),(0 0),(7 1),(4 1),(4 6),(9 2),(7 2),(0 4),(2 5),(0 7),(0 8),29.947
,1,8,10,126,(6 1),(0 0),(-1 -1),(2 0),(8 0),(2 1),(9 4),(4 5),(4 2),(2 2),(6 3),(0 5),(0 7),(0 8),34.35
,1,8,10,126,(10 1),(4 0),(-1 -1),(6 0),(0 0),(6 1),(0 4),(3 5),(6 2),(8 2),(10 3),(10 5),(8 7),(8 8),29.809
,1,8,10,126,(2 1),(0 0),(-1 -1),(2 0),(8 0),(4 1),(9 4),(4 5),(4 2),(2 2),(6 3),(0 5),(0 7),(0 8),28.653
,0,29,10,68,(0 0),(10 0),(2 0),(3 9),(6 0),(3 8),(7 4),(0 4),(0 2),(10 5),(5 4),(5 6),(8 9),(0 8),30.721
,1,9,10,128,(9 0),(10 1),(0 0),(4 0),(-1 -1),(4 1),(0 4),(7 6),(8 2),(6 2),(4 3),(3 5),(3 7),(3 8),29.561
,1,9,10,128,(9 0),(8 1),(-1 -1),(4 0),(0 0),(4 1),(0 4),(7 6),(4 2),(6 2),(10 3),(3 5),(3 7),(3 8),34.8
,1,8,10,126,(10 1),(4 0),(0 0),(6 0),(-1 -1),(6 1),(0 4),(3 5),(6 2),(10 2),(8 3),(8 5),(8 7),(8 8),33.371
,1,9,10,128,(10 1),(0 0),(2 0),(6 0),(-1 -1),(6 1),(8 2),(3 6),(2 4),(6 2),(4 4),(0 5),(8 7),(0 7),32.08
,1,8,10,126,(2 1),(0 0),(-1 -1),(2 0),(8 0),(4 1),(9 4),(4 5),(4 2),(2 2),(6 3),(0 5),(0 7),(0 8),32.192
