1,30,28,188,(4 0),(7 0),(8 0),(6 2),(0 2),(6 10),(8 5),(6 6),(4 5),(11 7),(-1 -1),(4 15),(3 8),(0 9),(0 12),(4 13),(1 13),(7 19),(7 15),(7 16),(3 22),(3 17),(1 19),(0 23),32.558
1,27,29,183,(3 0),(10 0),(0 0),(11 2),(-1 -1),(5 2),(5 7),(0 5),(10 6),(9 7),(6 8),(2 9),(5 8),(0 9),(0 12),(10 14),(10 16),(1 20),(1 16),(1 17),(8 22),(9 17),(6 20),(0 23),35.484
1,31,29,191,(3 0),(9 0),(0 0),(4 2),(5 2),(0 6),(0 5),(0 11),(10 5),(9 7),(-1 -1),(9 16),(7 8),(5 9),(8 12),(10 13),(5 13),(2 19),(9 15),(0 15),(7 23),(7 17),(0 18),(11 23),39.376
1,35,30,200,(6 0),(5 0),(7 0),(10 2),(1 7),(0 2),(6 5),(5 6),(10 6),(0 7),(-1 -1),(5 10),(8 10),(10 14),(9 12),(1 13),(3 13),(7 22),(0 15),(3 19),(3 22),(0 17),(1 18),(0 23),37.156
1,35,30,200,(0 0),(1 0),(7 0),(11 2),(3 7),(2 2),(7 5),(7 6),(8 10),(7 10),(-1 -1),(0 7),(11 12),(10 10),(10 12),(5 13),(3 13),(7 22),(0 15),(5 18),(3 21),(2 17),(0 18),(2 23),38.523
1,35,30,200,(0 0),(5 0),(1 0),(4 2),(8 2),(1 10),(0 5),(1 6),(6 5),(0 7),(2 18),(5 16),(8 8),(9 9),(9 12),(6 13),(10 13),(-1 -1),(5 15),(0 15),(8 22),(8 17),(0 18),(5 23),37.415
1,32,30,194,(6 0),(0 0),(7 0),(5 2),(1 2),(-1 -1),(6 5),(5 6),(10 5),(0 7),(6 10),(1 8),(9 10),(4 10),(5 12),(3 18),(10 13),(7 22),(9 19),(0 15),(3 22),(0 18),(1 18),(0 23),34.961
0,64,30,158,(5 0),(7 0),(8 0),(7 6),(8 5),(0 2),(1 7),(7 11),(5 5),(0 7),(9 15),(1 8),(4 8),(5 19),(7 17),(7 15),(5 13),(0 22),(0 15),(7 27),(0 16),(4 17),(5 21),(8 23),40.018
0,63,30,156,(8 0),(9 0),(5 0),(0 2),(1 2),(5 6),(5 5),(5 11),(10 5),(0 7),(5 18),(1 8),(4 8),(10 28),(9 20),(8 18),(10 13),(0 22),(0 15),(5 15),(0 16),(4 17),(10 19),(8 23),40.312
1,29,30,188,(4 0),(8 0),(5 0),(9 2),(0 2),(-1 -1),(4 5),(5 6),(10 5),(4 7),(1 18),(1 8),(0 8),(5 10),(11 19),(5 13),(10 13),(6 22),(6 15),(1 15),(6 16),(0 17),(4 18),(0 23),42.18
1,31,30,192,(10 0),(8 0),(5 0),(9 2),(-1 -1),(0 2),(5 6),(3 7),(10 5),(8 7),(0 18),(0 7),(9 8),(3 11),(11 19),(3 13),(10 13),(5 22),(5 15),(0 15),(5 16),(9 17),(3 18),(10 23),42.319
0,57,30,144,(0 0),(6 0),(1 0),(5 2),(1 9),(7 2),(7 7),(0 5),(5 6),(11 7),(7 15),(7 8),(10 8),(5 16),(0 12),(5 14),(10 17),(0 22),(1 15),(5 27),(1 16),(11 23),(5 18),(10 23),37.782
1,30,30,190,(6 0),(0 0),(7 0),(10 2),(-1 -1),(1 2),(6 5),(6 6),(3 7),(11 7),(2 18),(0 7),(5 8),(6 10),(6 19),(8 13),(6 13),(7 22),(8 15),(0 15),(8 16),(5 17),(0 18),(5 23),36.145
1,32,28,192,(0 0),(10 0),(1 0),(11 2),(5 8),(5 2),(5 7),(0 5),(10 6),(9 7),(-1 -1),(0 9),(6 14),(3 9),(3 12),(4 14),(4 16),(7 18),(0 16),(7 15),(2 22),(2 17),(0 18),(6 23),38.494
1,33,29,195,(8 0),(10 0),(5 0),(11 2),(5 9),(0 2),(1 7),(5 5),(10 6),(0 7),(-1 -1),(0 16),(3 8),(1 9),(4 12),(1 13),(10 14),(5 18),(0 15),(5 15),(1 23),(3 17),(10 20),(0 23),41.509
1,35,30,200,(6 0),(10 0),(7 0),(5 2),(8 18),(0 2),(6 5),(5 6),(10 6),(3 7),(-1 -1),(0 7),(4 8),(5 10),(7 18),(7 13),(5 13),(0 22),(0 15),(7 15),(0 16),(4 17),(5 19),(8 24),38.764
1,39,29,207,(0 0),(8 0),(1 0),(11 2),(4 2),(3 18),(0 5),(4 8),(9 5),(3 7),(0 16),(0 7),(11 8),(6 12),(8 12),(4 13),(9 13),(-1 -1),(0 15),(3 15),(4 23),(11 17),(9 19),(3 23),34.719
1,33,30,196,(3 0),(11 0),(0 0),(4 2),(5 2),(0 10),(0 5),(0 6),(9 5),(11 7),(-1 -1),(6 8),(5 8),(6 15),(11 15),(9 13),(8 16),(6 22),(8 15),(0 15),(2 18),(6 17),(0 18),(2 24),37.457
0,75,30,180,(5 0),(7 0),(8 0),(4 2),(0 2),(7 6),(8 5),(7 11),(5 5),(4 7),(7 18),(1 8),(11 18),(10 27),(0 12),(5 28),(5 13),(0 22),(1 15),(7 15),(1 16),(10 18),(5 19),(10 23),49.314
1,29,30,188,(5 0),(9 0),(6 0),(0 2),(1 2),(-1 -1),(5 5),(5 6),(10 5),(0 7),(9 18),(1 8),(4 8),(5 10),(6 19),(7 13),(5 13),(0 22),(0 15),(7 15),(0 16),(4 17),(7 18),(5 23),38.087
1,28,28,184,(5 0),(9 0),(6 0),(10 2),(1 7),(0 2),(5 5),(5 6),(10 6),(0 7),(-1 -1),(5 10),(9 12),(8 10),(8 12),(1 13),(10 14),(0 19),(0 15),(0 16),(7 22),(7 17),(5 18),(11 23),36.57
0,52,30,134,(7 0),(8 0),(4 0),(9 2),(0 2),(5 6),(4 5),(5 11),(10 5),(4 7),(1 18),(1 8),(0 8),(4 18),(4 20),(10 13),(10 15),(5 22),(6 15),(1 15),(6 16),(0 17),(10 21),(0 23),41.516
1,30,29,189,(5 0),(9 0),(6 0),(4 2),(0 2),(5 10),(5 5),(5 6),(10 5),(4 7),(-1 -1),(2 16),(0 8),(1 9),(1 12),(2 13),(10 13),(5 18),(2 15),(5 15),(1 23),(0 17),(10 19),(0 23),36.795
0,67,30,164,(9 0),(11 0),(6 0),(0 2),(6 9),(1 2),(0 7),(6 5),(4 7),(8 18),(5 18),(1 8),(0 8),(10 9),(9 18),(9 28),(10 13),(0 22),(1 15),(5 15),(1 16),(0 17),(10 19),(8 26),39.21
1,31,30,192,(10 0),(9 0),(0 0),(8 2),(-1 -1),(3 2),(8 6),(5 7),(0 5),(10 7),(2 18),(2 7),(11 8),(5 11),(6 19),(0 13),(5 13),(7 22),(7 15),(0 15),(7 16),(11 17),(0 18),(5 23),35.393
0,55,30,140,(7 0),(8 0),(4 0),(9 2),(0 2),(5 10),(4 5),(5 6),(10 5),(4 7),(1 18),(1 8),(0 8),(10 19),(4 20),(4 18),(10 13),(5 22),(6 15),(1 15),(6 16),(0 17),(10 21),(0 23),41.876
