,0,30,20,80,(0 0),(2 1),(0 5),(0 10),(2 3),(0 15),(3 5),(0 12),(0 9),(0 8),0.63
,0,30,20,80,(3 0),(2 5),(0 1),(0 10),(0 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.3
,0,30,20,80,(0 0),(2 5),(2 1),(0 10),(2 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.339
,0,30,20,80,(3 0),(0 3),(0 1),(0 10),(2 5),(0 15),(0 5),(0 12),(0 9),(2 8),0.402
,0,30,20,80,(0 0),(2 1),(2 5),(0 10),(2 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.323
,0,30,20,80,(3 0),(0 3),(0 1),(0 10),(2 5),(0 15),(0 5),(0 12),(0 9),(2 8),0.605
,0,30,20,80,(3 0),(0 1),(2 5),(0 10),(0 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.425
,0,30,20,80,(0 0),(2 3),(2 1),(0 10),(2 5),(0 15),(0 5),(0 12),(0 9),(2 8),0.592
,0,30,20,80,(0 0),(2 1),(2 3),(0 10),(2 5),(0 15),(0 5),(0 12),(0 9),(2 8),0.346
,0,30,20,80,(3 0),(2 5),(0 1),(0 10),(0 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.633
,0,30,20,80,(3 0),(0 5),(0 1),(0 10),(0 3),(0 15),(3 5),(0 12),(0 9),(0 8),0.37
,0,30,20,80,(3 0),(2 5),(0 1),(0 10),(0 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.418
,0,30,20,80,(0 0),(2 5),(2 1),(0 10),(2 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.376
,0,30,20,80,(0 0),(2 1),(2 5),(0 10),(2 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.369
,0,30,20,80,(0 0),(2 1),(2 5),(0 10),(2 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.499
,0,30,20,80,(0 0),(2 1),(0 5),(0 10),(2 3),(0 15),(3 5),(0 12),(0 9),(0 8),0.414
,0,30,20,80,(0 0),(2 3),(2 1),(0 10),(0 5),(0 15),(3 5),(0 12),(0 9),(0 8),0.532
,0,30,20,80,(0 0),(2 1),(2 5),(0 10),(2 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.401
,0,30,20,80,(3 0),(0 1),(2 5),(0 10),(0 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.385
,0,30,20,80,(0 0),(2 1),(2 5),(0 10),(2 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.364
,0,30,20,80,(0 0),(2 1),(2 3),(0 10),(0 5),(0 15),(3 5),(0 12),(0 9),(0 8),0.414
,0,30,20,80,(0 0),(2 5),(2 1),(0 10),(2 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.567
,0,30,20,80,(3 0),(2 5),(0 1),(0 10),(0 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.384
,0,30,20,80,(3 0),(0 1),(2 5),(0 10),(0 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.341
,0,30,20,80,(0 0),(2 1),(2 5),(0 10),(2 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.373
,0,30,20,80,(0 0),(2 1),(2 5),(0 10),(2 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.454
,0,30,20,80,(0 0),(2 1),(2 5),(0 10),(2 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.409
,0,30,20,80,(0 0),(2 1),(2 5),(0 10),(2 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.432
,0,30,20,80,(3 0),(2 5),(0 1),(0 10),(0 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.384
,0,30,20,80,(3 0),(2 5),(0 1),(0 10),(0 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.379
,0,30,20,80,(3 0),(2 5),(0 1),(0 10),(0 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.427
,0,30,20,80,(0 0),(2 3),(2 1),(0 10),(2 5),(0 15),(0 5),(0 12),(0 9),(2 8),0.463
,0,30,20,80,(3 0),(0 1),(0 5),(0 10),(0 3),(0 15),(3 5),(0 12),(0 9),(0 8),0.398
,0,30,20,80,(0 0),(2 1),(0 5),(0 10),(2 3),(0 15),(3 5),(0 12),(0 9),(0 8),0.391
,0,30,20,80,(0 0),(2 1),(2 5),(0 10),(2 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.384
,0,30,20,80,(0 0),(2 5),(2 1),(0 10),(2 3),(0 15),(0 5),(0 12),(0 9),(2 8),0.345
,0,30,20,80,(3 0),(0 3),(0 1),(0 10),(0 5),(0 15),(3 5),(0 12),(0 9),(0 8),0.411
,0,30,20,80,(0 0),(2 1),(2 3),(0 10),(0 5),(0 15),(3 5),(0 12),(0 9),(0 8),0.429
